Date,Open,High,Low,Close,Volume
1985-12-06,128.46,128.54,126.78,126.96,38206897
1985-12-09,126.96,127.64,126.83,127.49,36137931
1985-12-10,127.49,128.52,127.15,127.97,38551724
1985-12-11,127.97,129.65,127.97,129.18,43620690
1985-12-12,129.18,130.1,129.18,129.76,40448276
1985-12-13,129.76,132.17,129.76,132.12,45413793
1985-12-16,132.12,133.18,132.06,132.61,39758621
1985-12-17,132.54,132.73,131.32,131.54,41724138
1985-12-18,131.52,131.98,130.71,131.14,47551724
1985-12-19,131.14,132.03,130.91,131.93,39620690
1985-12-20,131.93,132.58,131.7,132.26,39931034
1985-12-23,132.26,132.26,130.37,130.73,34279310
1985-12-24,130.73,130.73,129.3,130.03,22165517
1985-12-26,130.03,130.63,129.89,130.35,18586207
1985-12-27,130.35,131.59,130.25,131.49,25831034
1985-12-30,131.49,132.13,131.24,131.95,32006897
1985-12-31,131.95,132.66,131.9,132.29,38862069
1986-01-02,132.29,132.45,131.07,131.26,26141379
1986-01-03,131.26,131.26,130,130.55,30751724
1986-01-06,130.55,130.7,129.85,130.35,34220690
1986-01-07,130.35,132.88,130.33,132.79,43965517
1986-01-08,132.79,133.88,131.15,131.16,48275862
1986-01-09,131.01,131.16,128.05,128.8,41172414
1986-01-10,128.8,129.97,128.79,129.57,33965517
1986-01-13,129.57,129.6,128.63,129.1,30858621
1986-01-14,129.1,129.96,128.99,129.18,35482759
1986-01-15,129.18,131.65,129.01,131.54,40931034
1986-01-16,131.54,133.12,131.54,133.06,42724138
1986-01-17,133.06,133.6,132.6,132.77,38896552
1986-01-20,132.77,132.79,131.15,131.6,30837931
1986-01-21,131.6,132.01,130.6,131.09,38172414
1986-01-22,131.09,131.78,129.47,129.62,37103448
1986-01-23,129.62,129.62,128.46,129.27,38310345
1986-01-24,129.27,130.54,129.27,130.2,40793103
1986-01-27,130.21,130.99,129.79,130.79,38103448
1986-01-28,130.79,132.04,130.67,131.99,39793103
1986-01-29,131.99,134.13,131.99,133.06,45551724
1986-01-30,133.06,133.16,132.09,132.19,37586207
1986-01-31,132.19,133.22,132.03,132.93,37689655
1986-02-03,132.93,134.43,132.93,134.24,37103448
1986-02-04,134.24,135.69,134.24,134.6,43206897
1986-02-05,134.6,135.79,134.6,135.71,36310345
1986-02-06,135.71,136.94,135.57,136.64,41275862
1986-02-07,136.47,137.49,135.74,137.42,38310345
1986-02-10,137.4,138.24,137.3,138.12,37034483
1986-02-11,138.12,138.61,137.85,138.26,39068966
1986-02-12,138.26,138.76,138.04,138.66,42137931
1986-02-13,138.66,139.29,138.45,139.16,44344828
1986-02-14,139.16,140.63,139.16,140.16,42206897
1986-02-18,140.16,140.76,139.99,140.74,43448276
1986-02-19,140.74,140.92,139.59,139.64,47206897
1986-02-20,139.64,140.02,138.94,139.95,43068966
1986-02-21,139.95,141.24,139.95,141.15,50586207
1986-02-24,141.16,141.18,139.99,140.2,44103448
1986-02-25,140.2,140.2,138.87,139.4,41000000
1986-02-26,139.4,139.63,138.68,138.88,42827586
1986-02-27,138.88,140.53,138.74,140.52,43000000
1986-02-28,140.9,141.83,140.41,140.43,45034483
1986-03-03,140.43,140.66,139.6,139.74,41241379
1986-03-04,139.74,141.77,139.7,140.54,46551724
1986-03-05,140.54,140.62,139.57,140.24,40482759
1986-03-06,140.24,141.35,140.17,140.8,41482759
1986-03-07,140.8,141.16,140.24,140.71,43310345
1986-03-10,140.71,142.58,140.71,142.43,38931034
1986-03-11,142.43,145.5,142.43,145.35,46482759
1986-03-12,145.35,147.32,145.34,146.62,53413793
1986-03-13,146.62,147.05,145.88,147.01,48310345
1986-03-14,147.01,147.45,146.55,147,52482759
1986-03-17,147,147,145.57,146.37,44655172
1986-03-18,146.37,147.82,146.12,147.62,48103448
1986-03-19,147.62,148.57,147.43,147.48,47206897
1986-03-20,147.48,148.54,147.27,147.8,52206897
1986-03-21,147.8,148.79,147.56,148.01,45827586
1986-03-24,148.01,148.15,146.21,147.09,37793103
1986-03-25,147.09,147.71,146.62,147.49,37931034
1986-03-26,147.49,147.57,146.74,147.26,43827586
1986-03-27,147.25,149.05,147.16,148.38,47034483
1986-03-31,148.38,149.21,147.89,148.86,37862069
1986-04-01,148.86,149.23,148.07,148.45,43206897
1986-04-02,148.45,148.94,147.1,148.92,41344828
1986-04-03,148.92,149.93,148.55,148.71,41034483
1986-04-04,148.71,148.79,146.94,147.04,38517241
1986-04-07,147.04,147.08,144.83,146.05,37034483
1986-04-08,146.05,148.95,146.05,148.93,40655172
1986-04-09,148.93,150.03,148.54,149.05,45172414
1986-04-10,149.05,151.77,149.05,151.76,44310345
1986-04-11,151.76,153.54,151.76,152.66,44724138
1986-04-14,152.66,153.98,152.49,153.93,40724138
1986-04-15,153.93,155.02,153.43,154.92,43137931
1986-04-16,154.92,158.98,154.92,158.9,51344828
1986-04-17,158.9,159.86,158.29,159.05,53793103
1986-04-18,157.38,159.15,157.35,157.66,49896552
1986-04-21,157.66,158.63,157.24,158.52,44517241
1986-04-22,157.35,159.47,157.35,157.86,50137931
1986-04-23,156.65,158.21,156.63,157.46,43103448
1986-04-24,157.46,160.16,157.46,159.85,49344828
1986-04-25,159.85,160.62,159.6,160.46,45965517
1986-04-28,160.46,160.95,159.14,159.9,38000000
1986-04-29,159.9,160.3,157.7,158.25,42862069
1986-04-30,158.25,158.4,154.79,154.91,41724138
1986-05-01,154.91,154.94,153.73,154.21,39413793
1986-05-02,154.21,155.59,154.21,155.01,35379310
1986-05-05,155.01,157.41,155.01,157.14,34203448
1986-05-06,157.14,158.09,156.85,157.12,37413793
1986-05-07,157.12,157.12,155.31,156.26,40000000
1986-05-08,156.26,157.53,156.18,157.16,38103448
1986-05-09,157.16,157.91,156.38,157.91,39965517
1986-05-12,157.91,158.26,157.36,157.75,35000000
1986-05-13,157.75,157.92,156.4,157.05,37103448
1986-05-14,157.05,157.82,156.54,157.01,38586207
1986-05-15,157.01,157.12,155.4,155.76,37241379
1986-05-16,155.76,155.86,154.39,154.99,35793103
1986-05-19,154.99,155.6,154.88,155.31,31975862
1986-05-20,155.31,157.05,155,157.01,40206897
1986-05-21,157.01,158.38,156.93,157.44,47413793
1986-05-22,157.44,159.68,157.26,159.63,49620690
1986-05-23,159.63,160.39,159.41,160.16,39689655
1986-05-27,160.16,161.21,159.94,161.18,38551724
1986-05-28,161.18,162.03,160.65,161.3,45344828
1986-05-29,161.3,161.82,160.29,161.62,44965517
1986-05-30,161.62,163.62,161.51,163.16,45862069
1986-06-02,163.16,163.98,162,162.03,38137931
1986-06-03,162.03,162.23,161.37,162.11,41482759
1986-06-04,162.11,163.09,161.4,161.82,42310345
1986-06-05,161.82,162.81,161.76,162.36,43310345
1986-06-06,162.36,162.9,161.88,161.88,41586207
1986-06-09,161.88,161.98,158.21,158.61,39655172
1986-06-10,158.6,158.7,157.18,158.1,41310345
1986-06-11,158.1,160.08,158.1,160.04,43068966
1986-06-12,160.04,161.04,159.95,160.37,44862069
1986-06-13,160.37,162.53,160.33,162.35,48034483
1986-06-16,162.35,162.93,160.62,160.8,40827586
1986-06-17,160.8,161.21,158.43,158.57,41068966
1986-06-18,158.57,158.66,156.87,158.48,43241379
1986-06-19,158.48,160.14,158.29,159.28,38379310
1986-06-20,159.28,159.71,158.29,159.59,44000000
1986-06-23,159.59,160.58,159.35,159.55,39137931
1986-06-24,159.55,161.1,159.43,160.8,38931034
1986-06-25,160.8,162.52,160.8,162,42827586
1986-06-26,162,162.26,161.38,161.72,47689655
1986-06-27,161.72,162.05,161.21,161.62,44310345
1986-06-30,161.62,163.07,161.54,162.62,41827586
1986-07-01,162.62,163.62,162.62,163.32,45793103
1986-07-02,163.32,164.2,163.32,163.96,47000000
1986-07-03,163.96,164.56,163.6,164.51,35862069
1986-07-07,164.51,164.54,157.59,157.62,38655172
1986-07-08,157.62,157.62,152.43,153.26,47310345
1986-07-09,153.26,155.65,153.17,155.41,41448276
1986-07-10,155.41,156.35,153.15,154.29,37000000
1986-07-11,154.29,154.45,152.73,152.85,36068966
1986-07-14,152.85,152.92,149.01,149.29,37448276
1986-07-15,149.29,149.29,145.32,146.26,45758621
1986-07-16,146.26,148.45,146.26,147.4,39931034
1986-07-17,147.4,148.75,147.26,148.46,38689655
1986-07-18,148.46,148.52,146.48,147.76,38241379
1986-07-21,147.76,147.95,146.79,147.07,28193103
1986-07-22,147.07,148.16,146.59,147.4,33051724
1986-07-23,147.4,148.01,147.12,147.18,35034483
1986-07-24,147.18,148.15,146.98,147.28,39137931
1986-07-25,147.28,148.41,147.28,148.26,32772414
1986-07-28,148.26,148.74,145.21,145.51,30734483
1986-07-29,145.51,145.57,144.04,144.21,33696552
1986-07-30,144.21,144.67,142.73,144.52,35551724
1986-07-31,144.59,145.61,144.57,144.71,34013793
1986-08-01,144.71,145.76,144.01,144.19,34265517
1986-08-04,144.19,144.19,141.65,142.52,28075862
1986-08-05,142.52,142.91,141.75,141.86,35137931
1986-08-06,141.86,141.86,140.3,140.54,32324138
1986-08-07,140.54,141.47,140.18,140.7,35034483
1986-08-08,140.7,142.55,140.7,142.29,34517241
1986-08-11,142.29,145.51,142.29,145.44,32465517
1986-08-12,145.44,147.32,145.44,147.06,38137931
1986-08-13,147.06,149.45,147.06,148.84,41827586
1986-08-14,148.84,150.14,148.62,149.99,38206897
1986-08-15,150.01,150.3,149.18,149.57,34058621
1986-08-18,149.57,150.07,148.83,149.07,29448276
1986-08-19,149.07,149.09,147.98,148.6,38413793
1986-08-20,148.6,149.9,148.46,149.76,39275862
1986-08-21,149.76,150.65,149.46,150.01,38586207
1986-08-22,150.01,151.26,149.69,150.95,34931034
1986-08-25,150.95,151.12,149.77,149.91,25793103
1986-08-26,149.91,151.23,149.88,151.15,34082759
1986-08-27,151.15,152.16,151.07,152.02,35517241
1986-08-28,152.02,152.3,151.35,152.04,36206897
1986-08-29,152.04,152.55,151.7,151.7,28362069
1986-09-02,151.7,152.07,149.15,149.34,33648276
1986-09-03,149.34,149.84,148.6,149.82,33448276
1986-09-04,149.82,151.73,149.79,151.4,35344828
1986-09-05,151.4,151.9,149.54,149.67,38413793
1986-09-08,149.67,149.67,146.35,146.55,33531034
1986-09-09,146.55,147.32,145.41,145.76,41413793
1986-09-10,145.76,145.76,144.57,144.74,39862069
1986-09-11,144.74,144.74,138.46,138.46,47620690
1986-09-12,138.46,138.62,134.85,135.04,48206897
1986-09-15,135.04,135.96,134.09,134.94,35482759
1986-09-16,134.94,135.25,133.28,135.21,36172414
1986-09-17,135.21,136.99,135.05,136.39,36275862
1986-09-18,136.39,138.57,136.29,138.13,34468966
1986-09-19,138.13,138.49,137.02,138.46,35862069
1986-09-22,138.52,140.29,138.35,140.12,30700000
1986-09-23,140.12,141.06,139.05,139.57,37758621
1986-09-24,139.57,140.07,138.66,139.24,33831034
1986-09-25,137.62,137.62,137.62,137.62,35344828
1986-09-26,137.62,138.12,136.49,137.59,29168966
1986-09-29,137.59,137.59,134.82,135.54,28403448
1986-09-30,135.54,137.84,135.54,137.49,34758621
1986-10-01,137.52,139.01,137.52,138.26,35172414
1986-10-02,138.26,138.43,137.4,138.22,31582759
1986-10-03,138.22,139.37,137.66,138.55,33879310
1986-10-06,138.65,139.19,138.39,139.12,26017241
1986-10-07,139.12,139.24,137.91,138.26,29682759
1986-10-08,138.26,139.33,137.54,139.26,31048276
1986-10-09,139.24,140.15,139.03,139.16,32372414
1986-10-10,139.16,140.21,138.76,139.87,28824138
1986-10-13,139.87,140.71,139.62,140.68,15700000
1986-10-14,140.68,141.6,140.66,140.96,31806897
1986-10-15,140.96,142.22,140.76,142.1,35517241
1986-10-16,142.1,142.48,141.76,141.9,22010345
1986-10-17,141.88,142.1,140.9,141.2,31717241
1986-10-20,141.2,141.23,139.49,140.1,27055172
1986-10-21,140.1,140.47,139.38,139.93,30534483
1986-10-22,139.93,140.59,139.9,140.3,33831034
1986-10-23,140.3,142.4,140.23,142.15,42482759
1986-10-24,142.15,142.75,141.65,141.96,39482759
1986-10-27,141.96,142.26,141.26,141.76,32382759
1986-10-28,141.76,142.9,141.68,142.49,35310345
1986-10-29,142.49,143.28,142.12,143.13,36586207
1986-10-30,143.13,145.18,143.13,144.78,42586207
1986-10-31,144.78,145.18,143.79,144.48,36793103
1986-11-03,144.48,144.97,144.12,144.81,38344828
1986-11-04,144.81,146.05,144.54,145.96,48379310
1986-11-05,145.96,146.68,145.51,146.18,57655172
1986-11-06,146.18,146.23,144.64,145.41,38724138
1986-11-07,145.41,145.41,144.4,144.91,34248276
1986-11-10,144.91,145.05,143.7,144.29,34758621
1986-11-11,144.29,145.45,144.29,145.35,33562069
1986-11-12,145.35,145.91,145.02,145.58,37241379
1986-11-13,145.58,145.68,143.4,143.41,39758621
1986-11-14,143.41,143.78,142.86,143.51,35241379
1986-11-17,143.51,144.02,142.14,143.2,31486207
1986-11-18,143.2,143.68,140.62,140.66,40827586
1986-11-19,140.66,140.66,138.96,139.54,38344828
1986-11-20,139.54,141.43,139.54,141.31,39482759
1986-11-21,141.31,143.05,141.31,142.9,36827586
1986-11-24,142.9,144.63,142.77,144.49,33400000
1986-11-25,144.49,145.77,144.35,145.77,39241379
1986-11-26,145.77,146.95,145.59,146.87,36551724
1986-11-28,146.87,147.96,146.87,147.94,21362069
1986-12-01,147.94,147.94,145.63,146.85,33734483
1986-12-02,146.85,148.99,146.85,148.87,45137931
1986-12-03,148.87,150.71,148.87,150.08,46344828
1986-12-04,150.09,150.85,149.84,149.98,44137931
1986-12-05,149.98,150.38,148.7,149.04,45965517
1986-12-08,149.04,149.04,146.85,147.85,38137931
1986-12-09,147.85,147.85,146.82,146.87,40103448
1986-12-10,146.87,147.32,146.4,146.96,39724138
1986-12-11,146.96,147.4,145.63,146.08,42689655
1986-12-12,146.07,146.07,144.75,144.98,37379310
1986-12-15,144.98,144.98,142.85,144.07,39758621
1986-12-16,144.07,144.6,143.61,144.49,49068966
1986-12-17,144.49,144.49,142.91,143.04,43931034
1986-12-18,143.04,143.49,142.54,142.85,45862069
1986-12-19,142.85,144.07,142.82,143.77,44482759
1986-12-22,143.77,144.39,143.24,144.09,41310345
1986-12-23,144.09,144.24,142.4,142.8,51068966
1986-12-24,142.8,143.16,142.32,142.79,28317241
1986-12-26,142.79,143.08,142.5,142.93,15186207
1986-12-29,142.93,143.04,141.38,141.51,35172414
1986-12-30,141.51,141.79,140.95,141.52,43586207
1986-12-31,141.52,142.12,141.04,141.4,48517241
1987-01-02,141.4,143.01,141.4,142.86,21800000
1987-01-05,142.86,147.64,142.86,147.4,38137931
1987-01-06,147.4,149.08,147.4,149.06,47551724
1987-01-07,149.06,153.09,149.06,152.98,53275862
1987-01-08,152.98,155.7,152.98,155.69,54448276
1987-01-09,155.69,157.38,155.11,156.99,49586207
1987-01-12,156.99,159.43,156.6,159.3,52724138
1987-01-13,159.3,159.85,158.38,159.62,49448276
1987-01-14,159.62,162.67,159.62,162.66,59448276
1987-01-15,162.66,165.05,162.66,164.15,65344828
1987-01-16,164.15,164.17,161.63,162.51,53862069
1987-01-19,162.51,166.46,161.71,166.46,46206897
1987-01-20,166.46,168.35,166.02,166.52,63034483
1987-01-21,166.52,166.52,164.14,164.26,53965517
1987-01-22,164.26,168.01,163.45,167.95,56068966
1987-01-23,167.95,170.27,166.62,166.76,90310345
1987-01-26,166.76,166.76,163.88,164.14,39896552
1987-01-27,164.14,167.32,164.07,166.65,45137931
1987-01-28,166.65,167.77,165.99,167.62,52724138
1987-01-29,167.62,168.88,165.11,165.74,51965517
1987-01-30,165.71,166.77,164.34,166.68,53206897
1987-02-02,166.71,170.32,166.58,170.3,51413793
1987-02-03,170.3,171.73,170.3,171.55,59344828
1987-02-04,171.55,173.68,170.68,173.5,61413793
1987-02-05,173.5,175.43,173.46,174.63,64275862
1987-02-06,174.34,175.49,174.34,174.63,57689655
1987-02-09,173.23,174.63,173.23,173.62,47965517
1987-02-10,173.62,173.74,171.24,172.32,49379310
1987-02-11,172.32,176.12,172.32,175.98,51551724
1987-02-12,175.99,177.05,175.76,176.26,57931034
1987-02-13,176.26,179.3,175.76,179.07,53275862
1987-02-17,179.07,183.68,179.07,183.65,59310345
1987-02-18,183.65,184.73,180.41,181.21,67379310
1987-02-19,181.21,181.38,178.9,179.87,56275862
1987-02-20,179.87,179.9,178,178.68,53689655
1987-02-23,178.68,178.74,175.18,177.71,48310345
1987-02-24,177.71,179.29,176.99,178.94,45931034
1987-02-25,178.94,181.05,178.92,180.97,54482759
1987-02-26,180.97,183.36,180.6,182.18,53586207
1987-02-27,182.18,182.91,181.58,182.75,51517241
1987-03-02,182.75,183.38,180.99,181.07,46413793
1987-03-03,181.07,181.66,179.87,180.57,48241379
1987-03-04,180.57,183.55,180.56,183.27,53689655
1987-03-05,183.27,185.74,183.27,184.67,58758621
1987-03-06,184.67,184.8,183.4,184.29,51241379
1987-03-09,184.29,184.29,181.29,182.48,41000000
1987-03-10,182.48,184.76,182.31,184.46,48724138
1987-03-11,184.46,186.43,184.46,185.31,53724138
1987-03-12,185.31,185.33,184.12,184.77,53931034
1987-03-13,184.77,185.45,182.9,183.16,54586207
1987-03-16,183.16,183.16,181.42,182.73,45275862
1987-03-17,182.73,185.9,182.73,185.9,53068966
1987-03-18,185.9,187.98,185.13,186.04,55482759
1987-03-19,186.04,188.1,185.87,187.96,52068966
1987-03-20,187.96,190.43,187.96,189.82,59620690
1987-03-23,189.82,190.37,188.55,189.4,50448276
1987-03-24,189.4,190.33,188.49,190.18,56931034
1987-03-25,190.18,190.52,188.9,190.2,52758621
1987-03-26,190.2,191.37,190.2,190.71,53827586
1987-03-27,190.71,191.74,188.88,189.05,52551724
1987-03-30,189.05,189.05,183.27,183.84,48862069
1987-03-31,183.84,186.26,183.8,186.04,48448276
1987-04-01,186.04,186.1,182.57,186.07,49413793
1987-04-02,186.07,188.04,186.07,187.66,51793103
1987-04-03,179.82,191.43,179.82,191.36,58793103
1987-04-06,191.36,192.46,189.66,190.91,51965517
1987-04-07,190.91,190.96,187.43,187.43,58310345
1987-04-08,187.43,189.97,187.43,189.28,53000000
1987-04-09,189.28,189.51,187.18,188.73,54758621
1987-04-10,188.73,189.04,187.74,188.29,51137931
1987-04-13,188.29,188.29,183.9,183.95,46517241
1987-04-14,183.95,183.95,179.02,179.73,57034483
1987-04-15,179.73,182.46,179.73,182.46,50310345
1987-04-16,182.46,185.07,182.46,183.74,47931034
1987-04-20,183.74,184.38,181.68,182.12,38034483
1987-04-21,182.12,184.76,180.18,184.63,45137931
1987-04-22,184.63,185.68,183.96,183.96,45965517
1987-04-23,183.96,185.07,182.96,183.77,47620690
1987-04-24,183.77,183.77,180.27,180.38,45068966
1987-04-27,180.38,180.38,177.51,179.55,47482759
1987-04-28,179.55,182.05,179.55,181.26,44896552
1987-04-29,181.26,183.72,181.26,182.22,48620690
1987-04-30,182.22,185.88,182.22,184.83,50000000
1987-05-01,184.83,186.17,184.29,185.83,63551724
1987-05-04,185.83,186.74,185.01,186.45,42137931
1987-05-05,186.45,189.99,186.45,189.74,50103448
1987-05-06,189.74,190.51,188.68,189.29,60000000
1987-05-07,189.29,190.59,189.29,190.01,52344828
1987-05-08,190.01,191.42,189.52,190.36,47206897
1987-05-11,190.36,191.7,189.24,189.24,47137931
1987-05-12,189.24,189.35,187.46,188.98,48724138
1987-05-13,188.98,190.46,188.98,190.29,46931034
1987-05-14,190.29,191.16,190.21,190.74,47758621
1987-05-15,190.74,190.74,187.91,187.91,50241379
1987-05-18,187.91,188.12,183.33,185.46,44620690
1987-05-19,185.46,185.93,181,181.46,50724138
1987-05-20,181.46,182.72,179.74,181.7,50206897
1987-05-21,181.7,183.57,181.7,182.66,47275862
1987-05-22,182.66,183.54,181.27,181.64,38862069
1987-05-26,181.64,185.19,181.64,185.17,38896552
1987-05-27,185.17,186.51,185.07,185.96,41896552
1987-05-28,185.96,188.21,185.85,188.11,45137931
1987-05-29,188.11,189.83,188.11,188.77,46137931
1987-06-01,188.77,189.15,185.54,185.86,45896552
1987-06-02,185.86,186.18,184.44,184.5,44896552
1987-06-03,184.5,186.4,184.5,185.76,48620690
1987-06-04,185.76,186.47,185.21,186.26,52413793
1987-06-05,186.26,186.86,185.49,185.68,60758621
1987-06-08,185.68,187.65,185.01,187.54,40344828
1987-06-09,187.54,189.62,187.54,189.48,48034483
1987-06-10,189.48,191.84,189.35,190.02,59551724
1987-06-11,190.02,190.73,188.85,189.66,52620690
1987-06-12,189.66,191.26,189.66,190.36,55586207
1987-06-15,190.36,191.05,189.28,189.6,53620690
1987-06-16,189.6,191.29,188.63,191.14,58827586
1987-06-17,191.14,192.15,190.74,191.32,58965517
1987-06-18,191.32,192.78,190.15,192.37,54655172
1987-06-19,192.37,193.2,191.3,192.05,52965517
1987-06-22,192.05,193.04,192,192.9,45758621
1987-06-23,192.9,193.27,191.07,191.84,53206897
1987-06-24,191.84,193.36,191.57,191.9,48379310
1987-06-25,191.9,192.87,191.23,191.35,51655172
1987-06-26,191.35,191.45,189.32,191.06,50241379
1987-06-29,191.06,191.29,190.38,190.7,42482759
1987-06-30,190.7,191.1,188.35,189.24,49793103
1987-07-01,189.24,190.16,188.88,189.48,73724138
1987-07-02,189.54,190.95,189.54,190.38,64137931
1987-07-06,190.38,191.17,188.73,189.02,48068966
1987-07-07,189.02,189.02,187.4,187.76,67413793
1987-07-08,187.76,188.38,186.57,187.38,67206897
1987-07-09,187.38,189.4,187.35,187.98,52793103
1987-07-10,187.98,188.94,187.79,188.74,45482759
1987-07-13,188.74,190.42,188.06,190.42,43896552
1987-07-14,190.42,194.99,190.42,194.99,55241379
1987-07-15,194.99,196.04,193.7,194.87,53068966
1987-07-16,194.87,196.35,194.83,196.04,54689655
1987-07-17,196.04,197.3,195.31,195.87,52724138
1987-07-20,195.87,195.87,193.77,193.86,44931034
1987-07-21,193.86,194.91,192.83,193.2,53862069
1987-07-22,193.2,193.82,192.57,193.63,53137931
1987-07-23,193.63,193.88,190.46,191.51,52896552
1987-07-24,191.51,193.12,191.49,193.02,50793103
1987-07-27,193.02,193.37,191.99,193.2,38620690
1987-07-28,193.2,194.24,193.2,193.76,43413793
1987-07-29,193.76,194.85,193.59,194.73,46896552
1987-07-30,194.73,196.75,194.6,196.57,53172414
1987-07-31,196.57,197.12,195.83,196.35,49172414
1987-08-03,196.35,196.71,194.59,195.24,46034483
1987-08-04,195.24,195.99,194.1,195.88,48413793
1987-08-05,195.88,198.62,195.88,198.24,52344828
1987-08-06,198.24,201.91,198.05,201.87,51620690
1987-08-07,201.87,204.71,201.87,203.73,57000000
1987-08-10,203.73,206.06,203.1,206.03,45103448
1987-08-11,206.03,208.46,206.03,208.39,63931034
1987-08-12,208.39,208.59,206.79,207.06,59344828
1987-08-13,207.06,207.6,206.14,206.47,55241379
1987-08-14,206.47,206.99,205.31,206.46,50931034
1987-08-17,206.46,207.13,205.63,206.83,43551724
1987-08-18,206.83,206.87,203.31,203.9,50862069
1987-08-19,203.9,205.39,203.35,205.39,46241379
1987-08-20,205.39,208.98,205.37,208.93,54551724
1987-08-21,208.93,210.71,208.88,210.57,57310345
1987-08-24,210.57,210.57,208.77,209.48,49793103
1987-08-25,209.48,211.56,209.48,210.71,49862069
1987-08-26,210.71,211.9,210.5,211.16,52172414
1987-08-27,211.16,212.16,210.24,210.63,48172414
1987-08-28,210.63,211.02,208.85,208.85,53068966
1987-08-31,208.85,209.75,207.65,209.57,45827586
1987-09-01,209.57,210.78,206.88,206.89,59931034
1987-09-02,206.89,207.36,204.22,205.73,50172414
1987-09-03,205.73,207.49,203.68,205.01,50724138
1987-09-04,205.01,205.85,203.92,204.06,45379310
1987-09-08,204.06,204.11,197.43,199.9,50172414
1987-09-09,199.9,201.99,199.83,201.6,46310345
1987-09-10,201.6,205.35,201.6,205.16,54586207
1987-09-11,205.16,206.9,204.95,206.37,54551724
1987-09-14,206.37,207.07,204.34,205.16,44931034
1987-09-15,205.16,205.16,201.68,202.26,46724138
1987-09-16,202.26,203.44,201.24,201.3,48896552
1987-09-17,201.3,202.24,200.71,202.05,53310345
1987-09-18,202.05,202.96,201.15,201.68,52206897
1987-09-21,201.68,202.22,197.24,197.26,53068966
1987-09-22,197.26,201.46,196.13,201.43,54206897
1987-09-23,201.43,204.14,201.43,204.07,58034483
1987-09-24,204.07,206.18,203.74,204.64,41793103
1987-09-25,204.64,205.66,204.05,205.12,44758621
1987-09-28,205.12,206.86,204.35,204.62,47241379
1987-09-29,204.62,205.12,203.76,204.15,53482759
1987-09-30,204.15,205.7,203.68,205.51,56034483
1987-10-01,205.51,209.73,205.51,209.71,56827586
1987-10-02,209.71,212.23,209.71,212.15,56310345
1987-10-05,212.15,213.83,211.41,213.81,50241379
1987-10-06,213.81,214.03,208.07,208.07,54655172
1987-10-07,208.07,208.07,205.09,206.89,52413793
1987-10-08,206.89,207.62,202.49,203.62,54413793
1987-10-09,203.62,205.12,202.14,202.46,50103448
1987-10-12,202.46,202.46,197.85,199.62,40620690
1987-10-13,199.62,202.05,199.01,201.23,45448276
1987-10-14,201.23,201.24,196.39,197.49,50206897
1987-10-15,197.49,197.49,192.85,193.07,55103448
1987-10-16,193.07,193.54,182.96,183.29,67551724
